sale_id,sale_date,customer_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_signup_date,product_id,product_name,category_name,unit_cost,unit_price,branch_id,branch_name,branch_city,sales_channel,quantity,discount_percent,payment_method,inventory_snapshot_date,stock_quantity,reorder_level
S000000018,03-11-2025,C037345,Hana,Ahmadi,hana.ahmadi37345@example.com,9766497194.0,TEHRAN,11-07-2024,P00318,Pro Ball 318,Travel,67.66,99.48,B018,North Branch 18,Tabriz,partner,1,25,card,06-07-2025,382,100
S000000019,2025/12/15,C038563,Maryam,Mohammadi,maryam.mohammadi38563@example.com,9316620282.0,Isfahan,09-03-2024,P00024,Max Desk 24,Beauty,290.07,571.4,B007,Central Branch 7,Qom,partner,4,25,CARD,04-10-2023,37,10
S000000020,2023-04-24,C043792,Ali,Mohammadi,ali.mohammadi43792@example.com,9805882589.0,shiraz,17-09-2020,P00316,Basic Shirt 316,Pets,202.33,497.7,B009,South Branch 9,isfahan,store,4,25,online,30-06-2025,230,30
S000000021,06/29/2023,C023560,Neda,Rahimi,neda.rahimi23560@example.com,9974127762.0,isfahan,2023/12/31,P00054,Basic Headphones 54,Jewelry,88.47,240.45,B021,Airport Branch 21,tehran,online,3,15,cash,2023/06/21,151,40
S000000022,18-04-2024,C004850,Neda,Moradi,neda.moradi4850@example.com,9751721227.0,isfahan,2020/11/16,P00096,Classic Headphones 96,Pets,149.76,341.76,B028,Express Branch 28,isfahan,partner,3,10,wallet,2024/03/23,330,100
S000000023,2025/11/11,C027715,Neda,Moradi,neda.moradi27715@example.com,9106306631.0,isfahan,2022/04/04,P00221,Eco Ball 221,Electronics,159.84,202.3,B019,Bazaar Branch 19,Shiraz,mobile,3,10,online,2023/01/27,211,20
S000000024,2024-03-05,C034745,Omid,Akbari,omid.akbari34745@example.com,9409395476.0,Isfahan,2020-04-13,P00144,Prime Mixer 144,Beauty,344.65,540.96,B019,Bazaar Branch 19,Shiraz,mobile,1,15,online,2024/12/30,239,75
S000000025,07/13/2023,C000728,Omid,Salehi,omid.salehi728@example.com,9561228852.0,isfahan,2020-01-10,P00295,Plus Notebook 295,Music,259.03,436.2,B019,Bazaar Branch 19,Shiraz,mobile,5,0,Online,2023/05/19,467,10
S000000026,11-04-2023,C032004,Omid,Akbari,omid.akbari32004@example.com,9517752614.0,Shiraz,2020-11-06,P00171,Classic Ball 171,Garden,303.57,643.09,B040,Outlet Branch 40,tehran,online,2,25,cash,2025/12/13,122,30
S000000027,2023/10/22,C016496,Reza,Salehi,reza.salehi16496@example.com,9239413440.0,Karaj,09/01/2024,P00189,Basic Notebook 189,Grocery,261.49,410.24,B003,Bazaar Branch 3,Karaj,online,6,20,cash,2023/06/17,156,50
S000000028,2023-10-27,C049178,Sara,Rostami,sara.rostami49178@example.com,9627833434.0,TEHRAN,05/08/2022,P00427,Smart Notebook 427,Clothing,273.02,377.32,B023,Bazaar Branch 23,Rasht,mobile,6,0,card,2024-03-19,238,20
S000000029,01/28/2024,C040901,Maryam,Mohammadi,maryam.mohammadi40901@example.com,9775258394.0,isfahan,06/12/2020,P00481,Pro Desk 481,Electronics,333.13,838.02,B031,North Branch 31,Tehran,store,6,0,CARD,2024-04-06,392,100
S000000030,26-12-2023,C043958,Omid,Ahmadi,omid.ahmadi43958@example.com,9411703374.0,Qom,06-09-2020,P00266,Pro Puzzle 266,Toys,376.89,618.7,B015,Outlet Branch 15,Isfahan,partner,3,15,cash,2025-12-27,246,75
S000000031,2024/01/21,C047213,Hana,Jafari,hana.jafari47213@example.com,9983667021.0,isfahan,27-07-2023,P00355,Nova Headphones 355,Music,231.45,288.14,B010,Central Branch 10,Rasht,mobile,6,0,cash,2025-04-19,483,30
S000000032,2023-11-18,C045795,Maryam,Mohammadi,maryam.mohammadi45795@example.com,9155104448.0,tehran,29-11-2020,P00457,Plus Sneakers 457,Baby,51.47,111.57,B020,North Branch 20,Shiraz,online,1,0,Online,2024-06-24,126,20
S000000033,12/06/2025,C047031,Omid,Akbari,omid.akbari47031@example.com,9987955920.0,Tehran,2020/08/24,P00019,Pro Coffee 19,Gaming,77.76,112.44,B021,Airport Branch 21,tehran,online,6,0,cash,2023-10-02,212,10
S000000034,28-08-2024,C000222,Reza,Rostami,reza.rostami222@example.com,9657233178.0,Qom,2022/06/24,P00467,Nova Headphones 467,Clothing,191.58,471.9,B020,North Branch 20,Shiraz,online,3,0,CARD,2024-04-05,423,30
S000000035,2024/09/20,C020772,Leila,Hosseini,leila.hosseini20772@example.com,9477014693.0,Tabriz,2021/06/05,P00074,Classic Sneakers 74,Jewelry,157.44,302.63,B031,North Branch 31,Tehran,store,3,10,Online,10/29/2025,36,20
S000000036,2023-06-20,C032075,Reza,Karimi,reza.karimi32075@example.com,9732443432.0,tehran,2023-12-03,P00073,Mini Notebook 73,Health,211.95,460.24,B001,Central Branch 1,Rasht,online,2,10,card,01/23/2023,415,10
S000000037,03/01/2024,C018010,Leila,Moradi,leila.moradi18010@example.com,9203721676.0,Tabriz,2022-11-03,P00089,Smart Shirt 89,Grocery,47.08,58.83,B027,Express Branch 27,shiraz,store,2,20,CARD,04/21/2023,376,75
S000000038,10-08-2024,C039409,Mina,Hosseini,mina.hosseini39409@example.com,9349170990.0,Mashhad,2024-04-30,P00422,Prime Desk 422,Home Appliances,179.61,346.09,B020,North Branch 20,Shiraz,online,4,0,CARD,03/23/2023,380,30
S000000039,2023/07/19,C008952,Yasin,Moradi,yasin.moradi8952@example.com,9209529296.0,Tehran,04/22/2021,P00110,Prime Sneakers 110,Office,158.2,278.01,B020,North Branch 20,Shiraz,online,1,15,CARD,07/23/2024,419,20
S000000040,2025-12-11,C019997,Maryam,Karimi,maryam.karimi19997@example.com,9209750394.0,Tabriz,02/03/2020,P00272,Smart Coffee 272,Automotive,213.09,320.35,B028,Express Branch 28,isfahan,partner,8,5,online,09/27/2024,429,100
S000000041,10/28/2025,C020882,Leila,Moradi,leila.moradi20882@example.com,9747715982.0,Rasht,06/03/2023,P00230,Eco Puzzle 230,Office,255.77,608.45,B022,Outlet Branch 22,Rasht,mobile,10,25,cash,12/16/2024,373,100
S000000042,03-04-2025,C013361,Yasin,Moradi,yasin.moradi13361@example.com,9749674379.0,Mashhad,09-01-2022,P00089,Smart Shirt 89,Grocery,47.08,58.83,B023,Bazaar Branch 23,Rasht,mobile,1,15,CARD,19-05-2025,402,30
S000000043,2025/02/14,C036223,Leila,Rahimi,leila.rahimi36223@example.com,9363324549.0,tehran,10-11-2022,P00371,Mini Desk 371,Garden,5.51,11.67,B030,Airport Branch 30,Mashhad,mobile,1,10,card,04-09-2025,231,100
S000000044,2024-01-04,C042296,Omid,Salehi,omid.salehi42296@example.com,9326124256.0,Qom,02-12-2022,P00036,Eco Desk 36,Pets,374.23,991.73,B032,Central Branch 32,shiraz,partner,4,5,cash,23-01-2024,62,40
S000000045,07/28/2024,C044163,Omid,Ahmadi,omid.ahmadi44163@example.com,9369376498.0,Rasht,2024/01/27,P00242,Plus Puzzle 242,Home Appliances,233.24,393.81,B008,West Branch 8,Isfahan,store,3,0,cash,06-12-2023,5,20
S000000046,28-11-2023,C030550,Mina,Jafari,mina.jafari30550@example.com,9752902352.0,isfahan,2020/10/05,P00340,Mini Mixer 340,Furniture,53.3,69.47,B028,Express Branch 28,isfahan,partner,1,5,card,15-08-2025,212,40
S000000047,2024/03/17,C039537,Mina,Rahimi,mina.rahimi39537@example.com,9959087869.0,Rasht,2024/09/05,P00322,Eco Coffee 322,Home Appliances,264.59,333.64,B017,Express Branch 17,tehran,online,3,5,wallet,13-12-2025,483,50
S000000048,2024-08-23,C045900,Amir,Karimi,amir.karimi45900@example.com,9258437743.0,tehran,2020-04-13,P00072,Max Desk 72,Automotive,260.74,662.34,B002,Mall Branch 2,Karaj,partner,2,5,online,16-12-2025,205,20
S000000049,03/06/2023,C031172,Hana,Akbari,hana.akbari31172@example.com,9902926403.0,Qom,2020-01-30,P00281,Basic Puzzle 281,Electronics,55.09,127.69,B013,Outlet Branch 13,Mashhad,mobile,5,20,online,2023/06/03,252,100
S000000050,25-01-2025,C042684,Mina,Mohammadi,mina.mohammadi42684@example.com,9343136904.0,Mashhad,2022-02-06,P00125,Classic Cream 125,Sports,248.17,471.89,B033,South Branch 33,isfahan,online,10,25,cash,2023/05/26,435,50
S000000051,2025/07/27,C040862,Sara,Moradi,sara.moradi40862@example.com,9605001597.0,Tabriz,01/19/2024,P00087,Basic Shirt 87,Clothing,348.29,691.88,B026,Central Branch 26,Mashhad,partner,2,25,CARD,2023/07/02,9,20
S000000052,2024-05-14,C000284,Amir,Akbari,amir.akbari284@example.com,9638798023.0,shiraz,08/27/2024,P00270,Max Headphones 270,Office,99.29,222.5,B027,Express Branch 27,shiraz,store,2,0,online,2023/07/20,136,100
S000000053,07/25/2025,C036774,Omid,Ahmadi,omid.ahmadi36774@example.com,9171663233.0,shiraz,11/05/2021,P00427,Smart Notebook 427,Clothing,273.02,377.32,B005,South Branch 5,TEHRAN,online,1,5,CARD,2024/09/11,181,50
S000000054,24-11-2025,C011982,Maryam,Salehi,maryam.salehi11982@example.com,9612811270.0,isfahan,09-06-2022,P00093,Basic Cream 93,Health,116.63,178.97,B033,South Branch 33,isfahan,online,4,0,CARD,2023/01/19,282,40
S000000055,2025/08/18,C026373,Mina,Mohammadi,mina.mohammadi26373@example.com,9980038620.0,Tabriz,11-10-2024,P00042,Max Mixer 42,Home Appliances,384.92,609.82,B001,Central Branch 1,Rasht,online,4,0,cash,2024/07/27,201,20
S000000056,2024-08-29,C016424,Yasin,Salehi,yasin.salehi16424@example.com,9421296541.0,Rasht,01-12-2023,P00313,Pro Mixer 313,Health,81.26,160.74,B040,Outlet Branch 40,tehran,online,1,25,card,2023-01-21,227,30
S000000057,05/03/2025,C023728,Maryam,Rostami,maryam.rostami23728@example.com,9978295853.0,Tabriz,2021/06/27,P00387,Pro Ball 387,Clothing,95.04,250.48,B011,Central Branch 11,TEHRAN,partner,1,0,Online,2025-05-07,462,20
S000000058,21-06-2025,C043558,Mina,Hosseini,mina.hosseini43558@example.com,9299546075.0,Karaj,2022/03/26,P00142,Nova Headphones 142,Home Appliances,364.26,863.13,B026,Central Branch 26,Mashhad,partner,3,10,cash,2023-10-06,173,40
S000000059,2024/03/20,C044157,Mina,Mohammadi,mina.mohammadi44157@example.com,9860454900.0,isfahan,2024/01/11,P00067,Basic Cream 67,Clothing,154.08,200.69,B012,South Branch 12,Mashhad,online,3,25,online,2025-09-20,218,20
S000000060,2024-01-21,C038718,Neda,Karimi,neda.karimi38718@example.com,9254581875.0,shiraz,2022-05-30,P00077,Smart Mixer 77,Baby,358.16,681.63,B024,Outlet Branch 24,TEHRAN,store,2,25,Online,2025-04-08,344,50
S000000061,12/05/2025,C024905,Reza,Akbari,reza.akbari24905@example.com,9976842327.0,Tabriz,2023-05-04,P00115,Prime Desk 115,Music,25.03,62.93,B028,Express Branch 28,isfahan,partner,4,25,Online,2025-09-24,487,30
S000000062,04-05-2024,C010013,Reza,Mohammadi,reza.mohammadi10013@example.com,9932786773.0,isfahan,2022-02-18,P00210,Basic Sneakers 210,Office,72.76,173.26,B032,Central Branch 32,shiraz,partner,3,20,Online,2025-11-10,338,50
S000000063,2023/08/31,C046862,Reza,Ahmadi,reza.ahmadi46862@example.com,9793617895.0,TEHRAN,12/20/2020,P00271,Prime Ball 271,Garden,136.82,320.74,B014,Bazaar Branch 14,shiraz,mobile,8,5,Online,11/13/2025,394,100
S000000064,2025-06-16,C048661,Ali,Rahimi,ali.rahimi48661@example.com,9697005241.0,Shiraz,08/19/2023,P00442,Pro Mixer 442,Home Appliances,59.04,114.59,B037,Bazaar Branch 37,Tehran,online,2,25,online,10/03/2023,71,75
S000000065,04/15/2023,C000097,Leila,Salehi,leila.salehi97@example.com,9904745462.0,TEHRAN,04/29/2021,P00424,Eco Coffee 424,Beauty,295.17,614.82,B035,Mall Branch 35,isfahan,mobile,3,0,online,01/28/2023,99,50
S000000066,28-10-2024,C047327,Neda,Mohammadi,neda.mohammadi47327@example.com,9611907337.0,Qom,03-04-2022,P00003,Smart Desk 3,Books,148.82,415.03,B027,Express Branch 27,shiraz,store,3,5,cash,07/09/2024,366,40
S000000067,2024/07/17,C012733,Maryam,Rostami,maryam.rostami12733@example.com,9352895218.0,Qom,26-07-2020,P00189,Basic Notebook 189,Grocery,261.49,410.24,B031,North Branch 31,Tehran,store,4,25,card,07/01/2024,264,75
S000000068,2023-09-19,C008490,Arman,Ahmadi,arman.ahmadi8490@example.com,9302265648.0,TEHRAN,19-09-2020,P00260,Pro Puzzle 260,Furniture,232.98,402.89,B016,North Branch 16,Rasht,online,5,0,wallet,10/31/2023,104,20
S000000069,04/25/2023,C033283,Neda,Jafari,neda.jafari33283@example.com,9846364233.0,shiraz,2024/02/18,P00280,Classic Cream 280,Furniture,161.54,357.81,B006,North Branch 6,tehran,online,5,25,Online,12/05/2024,225,40
S000000070,28-10-2025,C013716,Omid,Ahmadi,omid.ahmadi13716@example.com,9764422711.0,TEHRAN,2023/02/21,P00344,Pro Mixer 344,Beauty,216.3,340.99,B004,Bazaar Branch 4,Rasht,partner,1,10,card,08-04-2023,292,20
S000000071,2023/01/23,C037976,Hana,Rostami,hana.rostami37976@example.com,9759713001.0,shiraz,2021/11/07,P00471,Max Puzzle 471,Garden,150.94,415.48,B009,South Branch 9,isfahan,store,4,0,Online,01-08-2023,124,75
S000000072,2025-08-29,C032948,Yasin,Rahimi,yasin.rahimi32948@example.com,9279437176.0,Mashhad,2022-08-31,P00364,Prime Headphones 364,Beauty,132.49,368.18,B032,Central Branch 32,shiraz,partner,8,5,wallet,27-01-2023,212,10
S000000073,01/27/2023,C024399,Yasin,Rostami,yasin.rostami24399@example.com,9679233839.0,Mashhad,2023-07-17,P00074,Classic Sneakers 74,Jewelry,157.44,302.63,B017,Express Branch 17,tehran,online,1,0,wallet,01-01-2024,497,50
S000000074,26-11-2024,C018355,Arman,Akbari,arman.akbari18355@example.com,9774973444.0,Karaj,2021-09-06,P00486,Classic Notebook 486,Toys,87.08,132.29,B036,Express Branch 36,TEHRAN,store,3,25,cash,14-09-2023,9,10
S000000075,2025/07/02,C023854,Omid,Rostami,omid.rostami23854@example.com,9348092410.0,isfahan,03/01/2024,P00222,Pro Coffee 222,Home Appliances,222.49,604.28,B032,Central Branch 32,shiraz,partner,4,0,wallet,12-10-2024,237,40
S000000076,2025-05-06,C020454,Ali,Rostami,ali.rostami20454@example.com,9843036548.0,isfahan,09/30/2020,P00080,Nova Puzzle 80,Furniture,298.24,674.76,B008,West Branch 8,Isfahan,store,10,20,CARD,28-06-2025,344,30
S000000077,03/06/2024,C011940,Ali,Salehi,ali.salehi11940@example.com,9594344391.0,Tehran,07/10/2020,P00121,Classic Puzzle 121,Electronics,268.82,442.77,B032,Central Branch 32,shiraz,partner,2,0,Online,2024/09/13,209,75
S000000078,09-02-2024,C008295,Ali,Jafari,ali.jafari8295@example.com,9848919850.0,Karaj,15-02-2023,P00136,Pro Cream 136,Pets,370.35,893.67,B037,Bazaar Branch 37,Tehran,online,3,0,wallet,2024/08/08,50,30
S000000079,2024/01/15,C000432,Hana,Salehi,hana.salehi432@example.com,9359779090.0,Rasht,21-10-2020,P00473,Prime Cream 473,Health,292.84,379.75,B025,Bazaar Branch 25,Tehran,mobile,8,0,Online,2025/03/05,456,40
S000000080,2024-04-17,C021182,Sara,Akbari,sara.akbari21182@example.com,9832987712.0,Tehran,23-10-2021,P00429,Eco Cream 429,Grocery,109.15,222.46,B002,Mall Branch 2,Karaj,partner,4,5,Online,2025/11/12,45,20
S000000081,11/26/2024,C042807,Yasin,Rostami,yasin.rostami42807@example.com,9722777003.0,isfahan,2024/11/05,P00138,Classic Ball 138,Travel,388.44,982.53,B002,Mall Branch 2,Karaj,partner,2,0,card,2024/07/06,282,30
S000000082,29-10-2024,C027868,Maryam,Karimi,maryam.karimi27868@example.com,9122364899.0,Tabriz,2020/08/20,P00088,Pro Mixer 88,Shoes,298.11,741.36,B015,Outlet Branch 15,Isfahan,partner,1,5,cash,2024/03/16,413,100
S000000083,2025/02/15,C041924,Ali,Hosseini,ali.hosseini41924@example.com,9717750345.0,tehran,2021/03/28,P00488,Basic Shirt 488,Shoes,28.99,52.72,B016,North Branch 16,Rasht,online,6,0,Online,2023/01/07,466,30
S000000084,2025-12-25,C022197,Mina,Karimi,mina.karimi22197@example.com,9153951513.0,shiraz,2021-06-12,P00255,Classic Sneakers 255,Music,107.06,262.05,B019,Bazaar Branch 19,Shiraz,mobile,3,10,CARD,2024-11-07,37,10
S000000085,09/17/2024,C033301,Omid,Hosseini,omid.hosseini33301@example.com,9420153030.0,TEHRAN,2020-08-25,P00364,Prime Headphones 364,Beauty,132.49,368.18,B022,Outlet Branch 22,Rasht,mobile,3,0,card,2023-05-11,261,100
S000000086,10-06-2024,C045571,Mina,Karimi,mina.karimi45571@example.com,9987737717.0,Mashhad,2024-11-20,P00169,Plus Cream 169,Grocery,233.72,392.58,B023,Bazaar Branch 23,Rasht,mobile,1,0,online,2025-09-28,95,40
S000000087,2024/03/26,C013609,Omid,Rostami,omid.rostami13609@example.com,9792151649.0,Shiraz,08/28/2021,P00473,Prime Cream 473,Health,292.84,379.75,B028,Express Branch 28,isfahan,partner,4,25,wallet,2024-12-09,439,40
S000000088,2025-02-27,C006649,Ali,Akbari,ali.akbari6649@example.com,9401257560.0,Mashhad,07/03/2022,P00187,Basic Shirt 187,Clothing,144.89,318.21,B004,Bazaar Branch 4,Rasht,partner,3,5,online,2024-07-25,182,40
S000000089,02/22/2023,C030181,Reza,Karimi,reza.karimi30181@example.com,9451597190.0,Isfahan,07/09/2023,P00073,Mini Notebook 73,Health,211.95,460.24,B031,North Branch 31,Tehran,store,3,25,card,2023-07-13,38,50
S000000090,17-11-2023,C013871,Yasin,Ahmadi,yasin.ahmadi13871@example.com,9371070904.0,Karaj,09-10-2022,P00224,Smart Ball 224,Beauty,324.83,506.06,B003,Bazaar Branch 3,Karaj,online,10,0,Online,2023-04-18,283,75
S000000091,2025/06/18,C027045,Maryam,Rostami,maryam.rostami27045@example.com,9254202182.0,Tabriz,14-11-2021,P00291,Eco Puzzle 291,Garden,38.57,102.84,B035,Mall Branch 35,isfahan,mobile,2,0,online,02/11/2024,135,50
S000000092,2025-09-29,C018138,Leila,Mohammadi,leila.mohammadi18138@example.com,9542401402.0,Rasht,05-02-2024,P00222,Pro Coffee 222,Home Appliances,222.49,604.28,B033,South Branch 33,isfahan,online,6,25,wallet,01/19/2024,238,30
S000000093,12/05/2023,C024384,Amir,Ahmadi,amir.ahmadi24384@example.com,9839736054.0,shiraz,2023/03/24,P00421,Classic Sneakers 421,Electronics,195.9,330.92,B010,Central Branch 10,Rasht,mobile,4,20,cash,06/28/2023,229,10
S000000094,24-01-2025,C036419,Reza,Mohammadi,reza.mohammadi36419@example.com,9435943692.0,Tabriz,2023/01/26,P00477,Eco Notebook 477,Baby,324.84,410.46,B017,Express Branch 17,tehran,online,1,20,cash,10/16/2023,457,20
S000000095,2024/05/06,C032772,Amir,Rostami,amir.rostami32772@example.com,9720457778.0,Karaj,2023/08/28,P00288,Smart Puzzle 288,Shoes,19.17,22.84,B010,Central Branch 10,Rasht,mobile,8,0,Online,06/20/2025,72,100
S000000096,2023-04-11,C027086,Sara,Moradi,sara.moradi27086@example.com,9464280803.0,Tehran,2022-03-29,P00415,Plus Mixer 415,Music,179.33,403.07,B035,Mall Branch 35,isfahan,mobile,2,25,wallet,02/20/2024,395,100
S000000097,04/23/2023,C006399,Mina,Ahmadi,mina.ahmadi6399@example.com,9749633715.0,tehran,2023-02-17,P00008,Pro Desk 8,Shoes,240.22,589.41,B004,Bazaar Branch 4,Rasht,partner,4,10,CARD,02/20/2023,175,30
S000000098,12-10-2025,C045279,Ali,Akbari,ali.akbari45279@example.com,9728221946.0,tehran,2024-07-06,P00407,Classic Cream 407,Clothing,191.59,535.51,B021,Airport Branch 21,tehran,online,6,20,cash,15-02-2024,119,30
S000000099,2025/05/31,C009898,Maryam,Rostami,maryam.rostami9898@example.com,9491007852.0,Isfahan,07/01/2024,P00254,Max Desk 254,Jewelry,239.84,534.85,B035,Mall Branch 35,isfahan,mobile,4,0,card,21-11-2025,460,100
S000000100,2025-08-01,C005027,Arman,Salehi,arman.salehi5027@example.com,9165413285.0,shiraz,10/06/2021,P00247,Plus Desk 247,Clothing,153.59,302.38,B002,Mall Branch 2,Karaj,partner,2,0,wallet,28-04-2025,298,75
S000000101,03/29/2024,C010842,Neda,Rostami,neda.rostami10842@example.com,9597370755.0,Tehran,07/18/2021,P00497,Eco Headphones 497,Baby,117.38,175.5,B016,North Branch 16,Rasht,online,1,0,cash,01-05-2023,352,20
S000000102,10-08-2025,C032445,Mina,Karimi,mina.karimi32445@example.com,9938565573.0,Mashhad,18-08-2022,P00263,Prime Sneakers 263,Books,89.73,152.9,B026,Central Branch 26,Mashhad,partner,1,0,cash,14-04-2024,497,20
S000000103,2025/07/20,C001731,Neda,Rostami,neda.rostami1731@example.com,9736413935.0,Karaj,29-10-2021,P00242,Plus Puzzle 242,Home Appliances,233.24,393.81,B024,Outlet Branch 24,TEHRAN,store,2,15,wallet,12-06-2023,351,10
S000000104,2024-09-03,C040556,Ali,Hosseini,ali.hosseini40556@example.com,9441247690.0,Shiraz,11-11-2021,P00226,Mini Cream 226,Toys,358.48,818.98,B008,West Branch 8,Isfahan,store,4,25,card,09-11-2023,484,100
S000000105,09/13/2025,C014311,Ali,Akbari,ali.akbari14311@example.com,9285900923.0,isfahan,2024/11/03,P00102,Basic Puzzle 102,Home Appliances,58.09,68.84,B002,Mall Branch 2,Karaj,partner,8,5,CARD,2023/11/19,249,20
S000000106,19-02-2023,C040556,Ali,Hosseini,ali.hosseini40556@example.com,9441247690.0,Shiraz,2021/11/11,P00390,Eco Cream 390,Office,145.86,323.51,B011,Central Branch 11,TEHRAN,partner,1,10,wallet,2024/01/10,30,30
S000000107,2025/10/29,C020452,Hana,Hosseini,hana.hosseini20452@example.com,9351623357.0,isfahan,2020/05/14,P00379,Mini Ball 379,Gaming,125.96,236.03,B003,Bazaar Branch 3,Karaj,online,2,0,wallet,2024/06/14,283,100
S000000108,2023-05-17,C000771,Arman,Hosseini,arman.hosseini771@example.com,9884832186.0,Mashhad,2023-07-24,P00297,Nova Puzzle 297,Baby,56.24,100.5,B040,Outlet Branch 40,tehran,online,1,0,wallet,2025/12/21,381,10
S000000109,02/26/2024,C007487,Leila,Akbari,leila.akbari7487@example.com,9169118818.0,tehran,2024-12-01,P00324,Pro Ball 324,Beauty,265.69,392.33,B010,Central Branch 10,Rasht,mobile,6,0,cash,2023/11/11,221,75
S000000110,21-06-2024,C012022,Maryam,Moradi,maryam.moradi12022@example.com,9160665153.0,Mashhad,2024-05-03,P00099,Plus Puzzle 99,Gaming,26.79,45.95,B038,East Branch 38,Tehran,mobile,4,0,card,2023/09/09,230,100
S000000111,2023/04/25,C009347,Hana,Salehi,hana.salehi9347@example.com,9438712661.0,Rasht,04/18/2023,P00299,Basic Desk 299,Gaming,20.33,50.31,B002,Mall Branch 2,Karaj,partner,5,0,Online,2023/03/22,273,20
