sale_id,sale_date,customer_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_signup_date,product_id,product_name,category_name,unit_cost,unit_price,branch_id,branch_name,branch_city,sales_channel,quantity,discount_percent,payment_method,inventory_snapshot_date,stock_quantity,reorder_level,rejection_reason
S000006007,2023-03-01,C047630,Mina,Jafari,mina.jafari47630@example.com,9411620178.0,Qom,2023-03-22,P00372,Plus Ball 372,Automotive,140.76,299.87,B023,Bazaar Branch 23,Rasht,mobile,4,120,wallet,2024-09-25,456,75,invalid_discount_percent
S000006185,2025-04-19,C024073,Reza,Rostami,reza.rostami24073@example.com,9661356460.0,tehran,2022-11-11,P00252,Smart Coffee 252,Automotive,180.03,388.9,B030,Airport Branch 30,Mashhad,mobile,0,25,online,2024-03-01,485,10,invalid_quantity
S000006406,2023-07-14,C018705,Leila,Jafari,leila.jafari18705@example.com,9483690723.0,isfahan,2022-01-19,P00304,Max Headphones 304,Beauty,16.34,31.81,B019,Bazaar Branch 19,Shiraz,mobile,-3,25,Online,2023-08-28,464,20,invalid_quantity
S000006502,2025-12-21,C006312,Reza,Jafari,reza.jafari6312@example.com,9308969847.0,Qom,2021-06-25,P00055,Prime Headphones 55,Music,197.73,,B012,South Branch 12,Mashhad,online,1,0,wallet,2023-09-13,327,20,missing_unit_price
S000007422,2025-08-26,C000949,Yasin,Akbari,yasin.akbari949@example.com,9939328588.0,isfahan,2020-08-18,P00065,Basic Mixer 65,Sports,381.26,805.32,B026,Central Branch 26,Mashhad,partner,0,10,Online,2024-02-02,466,20,invalid_quantity
S000007776,2025-03-12,C044711,Yasin,Akbari,yasin.akbari44711@example.com,9863495083.0,Shiraz,2022-10-25,P00400,Prime Puzzle 400,Furniture,151.71,240.77,B009,South Branch 9,isfahan,store,5,10,cash,2025-05-13,478,10,duplicate_sale_id
S000008403,2023-07-10,C011952,Mina,Jafari,mina.jafari11952@example.com,9446308973.0,Tabriz,2020-02-17,P00157,Smart Puzzle 157,Baby,,442.33,B032,Central Branch 32,shiraz,partner,2,0,Online,2025-12-28,310,30,missing_unit_cost
S000008659,2025-07-24,C033132,Omid,Hosseini,omid.hosseini33132@example.com,9155314667.0,Karaj,2024-07-30,P00160,Nova Coffee 160,Furniture,334.31,436.72,B006,North Branch 6,tehran,online,0,0,cash,2025-02-01,235,40,invalid_quantity
S000009094,2025-02-12,C046746,Maryam,Ahmadi,maryam.ahmadi46746@example.com,9561561307.0,Tabriz,2020-01-31,P00086,Plus Cream 86,Toys,-326.49,808.57,B021,Airport Branch 21,tehran,online,2,25,CARD,2024-12-29,358,50,invalid_unit_cost
S000009609,2025-04-25,C014455,Leila,Mohammadi,leila.mohammadi14455@example.com,9933798616.0,Mashhad,2024-08-20,P00143,Classic Cream 143,Books,280.13,530.49,B038,East Branch 38,Tehran,mobile,-4,5,cash,2025-03-15,406,10,invalid_quantity
S000009753,2023-11-05,C047612,Sara,Akbari,sara.akbari47612@example.com,9216252722.0,Tabriz,2022-12-09,P00026,Pro Ball 26,Toys,354.05,,B013,Outlet Branch 13,Mashhad,mobile,1,25,CARD,2024-04-02,393,20,missing_unit_price
S000009896,2023-10-19,C025093,Neda,Karimi,neda.karimi25093@example.com,9482751375.0,Tabriz,2024-04-12,P00011,Prime Ball 11,Garden,73.98,195.05,B016,North Branch 16,Rasht,online,0,15,online,2025-03-07,238,10,invalid_quantity
S000010006,2025-03-06,C009788,Ali,Rahimi,ali.rahimi9788@example.com,9218675429.0,Shiraz,2020-09-06,P00151,Prime Coffee 151,Garden,396.9,-465.8,B020,North Branch 20,Shiraz,online,1,25,cash,2024-11-11,452,75,invalid_unit_price
S000011133,2024-08-05,C024270,Mina,Salehi,mina.salehi24270@example.com,9212418887.0,shiraz,2022-01-27,P00209,Max Coffee 209,Grocery,191.87,459.46,B016,North Branch 16,Rasht,online,0,0,Online,2025-09-29,467,40,invalid_quantity
S000011204,2023-07-02,C026736,Neda,Salehi,neda.salehi26736@example.com,9913412533.0,Qom,2022-10-25,P00154,Eco Puzzle 154,Jewelry,,324.57,B014,Bazaar Branch 14,shiraz,mobile,10,0,Online,2023-10-17,260,40,missing_unit_cost
S000012014,2023-07-27,C004924,Amir,Salehi,amir.salehi4924@example.com,9787298924.0,TEHRAN,2024-08-07,P00245,Pro Shirt 245,Sports,346.68,922.26,B026,Central Branch 26,Mashhad,partner,3,120,Online,2024-12-16,315,30,invalid_discount_percent
S000012370,2023-06-01,C018562,Arman,Moradi,arman.moradi18562@example.com,9259452887.0,Isfahan,2020-10-10,P00417,Basic Mixer 417,Baby,166.29,246.46,B006,North Branch 6,tehran,online,0,0,online,2025-05-09,427,50,invalid_quantity
S000012812,2025-10-18,C040798,Omid,Salehi,omid.salehi40798@example.com,9476156181.0,tehran,2020-04-21,P00211,Max Cream 211,Garden,327.13,381.27,B016,North Branch 16,Rasht,online,-1,0,card,2024-12-05,357,10,invalid_quantity
S000013004,2025-04-08,C009108,Neda,Salehi,neda.salehi9108@example.com,9784701695.0,Tabriz,2024-09-02,P00492,Eco Sneakers 492,Automotive,247.47,,B015,Outlet Branch 15,Isfahan,partner,1,5,cash,2024-12-22,367,50,missing_unit_price
S000013607,2024-03-03,C013779,Neda,Hosseini,neda.hosseini13779@example.com,9848154437.0,Mashhad,2020-06-08,P00081,Eco Coffee 81,Electronics,267.58,643.87,B005,South Branch 5,TEHRAN,online,0,10,cash,2025-02-01,208,30,invalid_quantity
S000013641,2025-10-10,C034395,Arman,Salehi,arman.salehi34395@example.com,9409493457.0,Tehran,2024-09-17,P00146,Max Cream 146,Toys,-343.18,874.03,B030,Airport Branch 30,Mashhad,mobile,1,10,cash,2025-02-19,437,30,invalid_unit_cost
S000014005,2025-05-12,C028887,Mina,Rostami,mina.rostami28887@example.com,9787473275.0,shiraz,2024-07-19,P00401,Classic Puzzle 401,Electronics,,387.8,B038,East Branch 38,Tehran,mobile,8,20,cash,2023-04-16,430,50,missing_unit_cost
S000014844,2023-04-23,C039153,Maryam,Ahmadi,maryam.ahmadi39153@example.com,9886210919.0,Qom,2020-11-14,P00088,Pro Mixer 88,Shoes,298.11,741.36,B026,Central Branch 26,Mashhad,partner,0,20,cash,2025-10-11,483,30,invalid_quantity
S000015009,2023-08-29,C017545,Sara,Ahmadi,sara.ahmadi17545@example.com,9727570336.0,isfahan,2023-06-04,P00211,Max Cream 211,Garden,327.13,-381.27,B006,North Branch 6,tehran,online,6,0,cash,2023-04-30,94,75,invalid_unit_price
S000015553,2024-10-31,C045462,Leila,Hosseini,leila.hosseini45462@example.com,9322125238.0,shiraz,2022-10-22,P00466,Classic Mixer 466,Toys,194.76,453.54,B030,Airport Branch 30,Mashhad,mobile,6,0,online,2025-09-25,495,10,duplicate_sale_id
S000016015,2023-04-19,C019290,Hana,Ahmadi,hana.ahmadi19290@example.com,9288146150.0,Karaj,2021-10-12,P00166,Nova Notebook 166,Toys,222.57,536.63,B017,Express Branch 17,tehran,online,-1,0,online,2024-10-05,318,20,invalid_quantity
S000016081,2023-10-08,C012680,Leila,Ahmadi,leila.ahmadi12680@example.com,9633119425.0,Rasht,2022-11-12,P00251,Eco Shirt 251,Garden,386.68,910.55,B008,West Branch 8,Isfahan,store,0,15,card,2024-09-27,293,20,invalid_quantity
S000016255,2024-03-15,C014531,Sara,Rostami,sara.rostami14531@example.com,9232046823.0,TEHRAN,2020-05-14,P00094,Max Desk 94,Jewelry,133.61,,B024,Outlet Branch 24,TEHRAN,store,3,5,wallet,2025-05-18,199,10,missing_unit_price
S000016806,2025-09-05,C014912,Reza,Akbari,reza.akbari14912@example.com,9142010194.0,Karaj,2024-07-05,P00085,Prime Puzzle 85,Sports,,362.67,B026,Central Branch 26,Mashhad,partner,2,25,card,2023-04-30,431,75,missing_unit_cost
S000017318,2024-12-28,C024852,Omid,Rahimi,omid.rahimi24852@example.com,9673385576.0,Isfahan,2024-07-12,P00269,Smart Desk 269,Grocery,325.45,721.28,B029,North Branch 29,TEHRAN,mobile,0,25,CARD,2024-07-09,202,50,invalid_quantity
S000018021,2023-08-27,C037745,Sara,Mohammadi,sara.mohammadi37745@example.com,9681195895.0,Isfahan,2024-11-23,P00324,Pro Ball 324,Beauty,265.69,392.33,B019,Bazaar Branch 19,Shiraz,mobile,1,120,CARD,2023-07-08,390,50,invalid_discount_percent
S000018188,2025-11-16,C034162,Reza,Karimi,reza.karimi34162@example.com,9313240613.0,Tabriz,2021-10-02,P00244,Max Headphones 244,Beauty,-189.21,312.06,B040,Outlet Branch 40,tehran,online,4,10,online,2025-11-24,169,20,invalid_unit_cost
S000018555,2025-02-18,C003934,Yasin,Rostami,yasin.rostami3934@example.com,9405761709.0,TEHRAN,2023-04-16,P00267,Eco Notebook 267,Clothing,260.43,311.3,B028,Express Branch 28,isfahan,partner,0,5,CARD,2023-09-12,475,20,invalid_quantity
S000019218,2024-12-02,C044636,Yasin,Moradi,yasin.moradi44636@example.com,9168202111.0,Mashhad,2020-11-16,P00310,Smart Coffee 310,Office,201.78,331.87,B011,Central Branch 11,TEHRAN,partner,-5,0,wallet,2025-11-23,486,30,invalid_quantity
S000019506,2024-05-24,C031081,Mina,Karimi,mina.karimi31081@example.com,9818006440.0,Shiraz,2021-04-29,P00009,Smart Sneakers 9,Grocery,111.74,,B022,Outlet Branch 22,Rasht,mobile,1,0,Online,2025-01-03,115,75,missing_unit_price
S000019607,2023-04-25,C010191,Yasin,Karimi,yasin.karimi10191@example.com,9278451152.0,Karaj,2023-07-30,P00394,Pro Puzzle 394,Jewelry,,551.85,B036,Express Branch 36,TEHRAN,store,5,10,Online,2025-03-07,32,40,missing_unit_cost
S000019792,2025-05-11,C043516,Maryam,Rostami,maryam.rostami43516@example.com,9483108337.0,Isfahan,2024-10-01,P00034,Basic Coffee 34,Jewelry,219.46,377.08,B038,East Branch 38,Tehran,mobile,0,10,online,2025-08-05,25,100,invalid_quantity
S000020012,2025-09-11,C001524,Mina,Mohammadi,mina.mohammadi1524@example.com,9665918566.0,isfahan,2022-12-10,P00113,Mini Coffee 113,Health,187.79,-369.98,B026,Central Branch 26,Mashhad,partner,6,25,Online,2024-10-22,474,10,invalid_unit_price
S000021029,2023-08-27,C048656,Arman,Jafari,arman.jafari48656@example.com,9558179554.0,tehran,2022-11-19,P00364,Prime Headphones 364,Beauty,132.49,368.18,B026,Central Branch 26,Mashhad,partner,0,25,wallet,2023-09-16,31,75,invalid_quantity
S000022266,2024-07-02,C018416,Hana,Jafari,hana.jafari18416@example.com,9539157488.0,Tabriz,2022-11-24,P00052,Smart Coffee 52,Automotive,204.8,285.16,B026,Central Branch 26,Mashhad,partner,0,0,cash,2023-03-08,331,10,invalid_quantity
S000022408,2023-03-09,C001586,Sara,Jafari,sara.jafari1586@example.com,9977840731.0,Rasht,2024-06-19,P00321,Classic Desk 321,Electronics,,359.94,B021,Airport Branch 21,tehran,online,3,5,card,2023-05-18,139,40,missing_unit_cost
S000022421,2025-09-02,C049343,Neda,Karimi,neda.karimi49343@example.com,9430211266.0,TEHRAN,2023-09-12,P00319,Basic Sneakers 319,Gaming,110.8,226.34,B006,North Branch 6,tehran,online,-2,10,cash,2023-08-06,232,10,invalid_quantity
S000022735,2024-05-17,C048965,Yasin,Karimi,yasin.karimi48965@example.com,9973015241.0,Isfahan,2023-10-12,P00241,Prime Sneakers 241,Electronics,-207.74,325.11,B031,North Branch 31,Tehran,store,3,10,online,2025-01-14,404,50,invalid_unit_cost
S000022757,2024-02-13,C045663,Arman,Akbari,arman.akbari45663@example.com,9652512858.0,Tehran,2023-06-14,P00337,Nova Sneakers 337,Baby,266.29,,B018,North Branch 18,Tabriz,partner,4,5,Online,2024-03-17,222,40,missing_unit_price
S000023330,2024-10-27,C014125,Ali,Karimi,ali.karimi14125@example.com,9425653123.0,tehran,2023-03-11,P00100,Prime Headphones 100,Furniture,18.93,39.17,B009,South Branch 9,isfahan,store,1,0,CARD,2024-09-01,222,10,duplicate_sale_id
S000023503,2024-05-18,C032034,Mina,Ahmadi,mina.ahmadi32034@example.com,9164018860.0,Rasht,2024-05-27,P00190,Max Coffee 190,Office,260.09,530.99,B038,East Branch 38,Tehran,mobile,0,0,wallet,2025-06-19,436,20,invalid_quantity
S000024028,2025-10-15,C014345,Arman,Moradi,arman.moradi14345@example.com,9213291429.0,TEHRAN,2024-07-31,P00032,Smart Cream 32,Automotive,288.21,344.32,B034,Express Branch 34,isfahan,partner,8,120,card,2024-03-14,281,50,invalid_discount_percent
S000024740,2024-06-24,C021994,Amir,Hosseini,amir.hosseini21994@example.com,9690517276.0,tehran,2024-03-16,P00364,Prime Headphones 364,Beauty,132.49,368.18,B002,Mall Branch 2,Karaj,partner,0,0,card,2023-05-15,99,30,invalid_quantity
S000025015,2025-11-22,C000043,Hana,Karimi,hana.karimi43@example.com,9384602384.0,Tabriz,2024-11-21,P00147,Prime Puzzle 147,Clothing,333.65,-444.33,B027,Express Branch 27,shiraz,store,10,15,wallet,2023-06-30,55,30,invalid_unit_price
S000025209,2025-05-01,C033088,Neda,Ahmadi,neda.ahmadi33088@example.com,9971948068.0,Qom,2022-02-13,P00208,Nova Coffee 208,Shoes,,499.09,B004,Bazaar Branch 4,Rasht,partner,1,20,Online,2025-12-04,112,30,missing_unit_cost
S000025624,2024-06-12,C023834,Neda,Moradi,neda.moradi23834@example.com,9284218515.0,tehran,2020-06-02,P00278,Eco Puzzle 278,Travel,164.36,227.77,B031,North Branch 31,Tehran,store,-2,15,online,2023-03-06,303,50,invalid_quantity
S000025977,2025-12-18,C029759,Hana,Moradi,hana.moradi29759@example.com,9421368739.0,isfahan,2023-09-25,P00387,Pro Ball 387,Clothing,95.04,250.48,B037,Bazaar Branch 37,Tehran,online,0,5,cash,2024-08-12,361,40,invalid_quantity
S000026008,2023-10-11,C044168,Leila,Ahmadi,leila.ahmadi44168@example.com,9289314096.0,tehran,2024-01-13,P00304,Max Headphones 304,Beauty,16.34,,B001,Central Branch 1,Rasht,online,6,0,CARD,2024-02-28,9,50,missing_unit_price
S000027214,2023-05-03,C042420,Arman,Karimi,arman.karimi42420@example.com,9651534349.0,tehran,2023-09-06,P00268,Basic Headphones 268,Shoes,248.33,507.33,B040,Outlet Branch 40,tehran,online,0,0,CARD,2024-08-22,24,10,invalid_quantity
S000027282,2024-01-13,C043152,Hana,Salehi,hana.salehi43152@example.com,9671689985.0,isfahan,2023-02-20,P00488,Basic Shirt 488,Shoes,-28.99,52.72,B040,Outlet Branch 40,tehran,online,1,15,cash,2025-01-13,394,10,invalid_unit_cost
S000028010,2024-02-05,C000308,Reza,Salehi,reza.salehi308@example.com,9320337809.0,tehran,2024-08-26,P00148,Max Coffee 148,Shoes,,210.51,B016,North Branch 16,Rasht,online,1,5,Online,2023-06-17,377,100,missing_unit_cost
S000028451,2023-10-03,C000078,Sara,Ahmadi,sara.ahmadi78@example.com,9592080329.0,Karaj,2023-02-27,P00298,Classic Sneakers 298,Travel,336.48,475.55,B036,Express Branch 36,TEHRAN,store,0,20,online,2025-09-25,312,40,invalid_quantity
S000028827,2023-02-26,C021354,Mina,Ahmadi,mina.ahmadi21354@example.com,9524772154.0,Isfahan,2020-02-24,P00173,Max Sneakers 173,Health,70.99,167.61,B004,Bazaar Branch 4,Rasht,partner,-2,25,Online,2023-09-16,116,30,invalid_quantity
S000029259,2023-04-20,C007297,Maryam,Karimi,maryam.karimi7297@example.com,9703793998.0,tehran,2021-09-30,P00409,Plus Ball 409,Grocery,244.96,,B027,Express Branch 27,shiraz,store,3,0,CARD,2023-04-19,300,50,missing_unit_price
S000029688,2023-12-10,C031489,Yasin,Salehi,yasin.salehi31489@example.com,9290726964.0,shiraz,2022-03-15,P00239,Plus Cream 239,Gaming,283.27,706.9,B009,South Branch 9,isfahan,store,0,10,cash,2024-07-03,308,20,invalid_quantity
S000030018,2023-11-12,C034611,Mina,Karimi,mina.karimi34611@example.com,9529075442.0,Qom,2024-07-02,P00043,Prime Mixer 43,Books,59.66,-72.72,B031,North Branch 31,Tehran,store,3,25,wallet,2024-12-07,485,100,invalid_unit_price
S000030035,2023-12-20,C015108,Ali,Rahimi,ali.rahimi15108@example.com,9319209168.0,shiraz,2020-10-24,P00300,Max Cream 300,Furniture,315.26,670.68,B001,Central Branch 1,Rasht,online,3,120,Online,2023-08-09,202,50,invalid_discount_percent
S000030811,2023-12-11,C018638,Amir,Karimi,amir.karimi18638@example.com,9642819467.0,Tabriz,2024-04-22,P00379,Mini Ball 379,Gaming,,236.03,B015,Outlet Branch 15,Isfahan,partner,2,10,wallet,2024-04-29,56,20,missing_unit_cost
S000030925,2023-04-23,C016284,Amir,Moradi,amir.moradi16284@example.com,9334174909.0,Rasht,2022-08-14,P00107,Smart Coffee 107,Clothing,286.7,387.25,B005,South Branch 5,TEHRAN,online,0,10,cash,2025-10-26,53,30,invalid_quantity
S000031107,2024-05-26,C031574,Leila,Jafari,leila.jafari31574@example.com,9970199762.0,Rasht,2020-12-04,P00015,Pro Shirt 15,Music,56.2,147.54,B002,Mall Branch 2,Karaj,partner,1,0,CARD,2025-08-21,32,10,duplicate_sale_id
S000031829,2024-06-11,C034150,Omid,Jafari,omid.jafari34150@example.com,9501244620.0,TEHRAN,2024-01-06,P00298,Classic Sneakers 298,Travel,-336.48,475.55,B011,Central Branch 11,TEHRAN,partner,5,0,online,2023-05-24,254,100,invalid_unit_cost
S000032030,2023-04-25,C016131,Maryam,Rostami,maryam.rostami16131@example.com,9930294733.0,shiraz,2024-12-03,P00092,Eco Notebook 92,Automotive,132.73,337.15,B014,Bazaar Branch 14,shiraz,mobile,-4,15,cash,2025-02-22,477,40,invalid_quantity
S000032162,2023-04-25,C006188,Arman,Hosseini,arman.hosseini6188@example.com,9717316531.0,Shiraz,2021-05-18,P00029,Smart Ball 29,Grocery,145.16,224.66,B001,Central Branch 1,Rasht,online,0,0,card,2024-06-28,176,40,invalid_quantity
S000032510,2024-03-09,C000989,Mina,Moradi,mina.moradi989@example.com,9260985353.0,Tabriz,2024-04-16,P00332,Nova Notebook 332,Automotive,391.91,,B016,North Branch 16,Rasht,online,1,10,card,2024-07-10,352,40,missing_unit_price
S000033399,2024-10-10,C006279,Mina,Salehi,mina.salehi6279@example.com,9843382582.0,Tehran,2020-08-19,P00172,Max Cream 172,Automotive,255.92,403.54,B020,North Branch 20,Shiraz,online,0,0,cash,2025-10-24,220,40,invalid_quantity
S000033612,2024-01-15,C008325,Maryam,Moradi,maryam.moradi8325@example.com,9989562867.0,Tehran,2020-11-14,P00102,Basic Puzzle 102,Home Appliances,,68.84,B011,Central Branch 11,TEHRAN,partner,1,0,Online,2024-12-09,402,50,missing_unit_cost
S000034636,2024-10-22,C039485,Omid,Jafari,omid.jafari39485@example.com,9776027604.0,shiraz,2024-10-22,P00448,Plus Notebook 448,Shoes,301.44,406.31,B033,South Branch 33,isfahan,online,0,10,wallet,2023-05-18,246,100,invalid_quantity
S000035021,2023-12-19,C031816,Reza,Rostami,reza.rostami31816@example.com,9170768987.0,Rasht,2020-06-02,P00069,Eco Ball 69,Grocery,41.97,-62.04,B024,Outlet Branch 24,TEHRAN,store,1,0,online,2024-12-05,277,75,invalid_unit_price
S000035233,2024-12-05,C003877,Hana,Rahimi,hana.rahimi3877@example.com,9334352988.0,isfahan,2021-05-28,P00198,Smart Puzzle 198,Travel,345.04,899.9,B040,Outlet Branch 40,tehran,online,-4,10,wallet,2025-10-19,121,40,invalid_quantity
S000035761,2024-04-15,C008745,Mina,Rahimi,mina.rahimi8745@example.com,9443242455.0,TEHRAN,2020-05-02,P00315,Basic Puzzle 315,Music,242.26,,B038,East Branch 38,Tehran,mobile,2,10,online,2025-08-23,196,40,missing_unit_price
S000035873,2025-12-04,C009254,Leila,Rahimi,leila.rahimi9254@example.com,9986393789.0,Mashhad,2023-12-12,P00286,Plus Desk 286,Toys,31.38,72.28,B018,North Branch 18,Tabriz,partner,0,15,online,2024-03-02,260,100,invalid_quantity
S000036042,2024-06-28,C021600,Ali,Hosseini,ali.hosseini21600@example.com,9620926352.0,Shiraz,2023-08-05,P00364,Prime Headphones 364,Beauty,132.49,368.18,B002,Mall Branch 2,Karaj,partner,8,120,online,2024-07-12,272,10,invalid_discount_percent
S000036376,2024-12-12,C029871,Maryam,Ahmadi,maryam.ahmadi29871@example.com,9621966397.0,Qom,2020-06-26,P00090,Basic Shirt 90,Office,-18.52,40.15,B025,Bazaar Branch 25,Tehran,mobile,4,0,online,2024-05-11,91,75,invalid_unit_cost
S000036413,2025-11-30,C035369,Neda,Jafari,neda.jafari35369@example.com,9887579763.0,Qom,2020-12-21,P00400,Prime Puzzle 400,Furniture,,240.77,B034,Express Branch 34,isfahan,partner,1,25,wallet,2024-12-25,356,10,missing_unit_cost
S000037110,2024-03-05,C020635,Arman,Hosseini,arman.hosseini20635@example.com,9973327168.0,Rasht,2021-08-14,P00393,Mini Shirt 393,Health,58.28,125.04,B018,North Branch 18,Tabriz,partner,0,5,CARD,2024-03-06,55,30,invalid_quantity
S000038347,2023-03-22,C036489,Amir,Hosseini,amir.hosseini36489@example.com,9332052429.0,Qom,2020-07-10,P00390,Eco Cream 390,Office,145.86,323.51,B039,Mall Branch 39,Shiraz,online,0,10,wallet,2025-02-10,426,30,invalid_quantity
S000038436,2025-09-15,C015288,Ali,Jafari,ali.jafari15288@example.com,9583755206.0,Tehran,2022-07-25,P00217,Max Sneakers 217,Baby,105.85,160.48,B008,West Branch 8,Isfahan,store,-1,0,card,2025-12-16,492,75,invalid_quantity
S000038884,2023-07-08,C041793,Mina,Akbari,mina.akbari41793@example.com,9493836812.0,shiraz,2020-06-21,P00030,Basic Puzzle 30,Office,146.01,240.91,B008,West Branch 8,Isfahan,store,8,20,cash,2024-02-26,215,20,duplicate_sale_id
S000039012,2025-04-25,C024624,Leila,Rostami,leila.rostami24624@example.com,9343344133.0,Tehran,2022-12-04,P00332,Nova Notebook 332,Automotive,391.91,,B021,Airport Branch 21,tehran,online,4,10,cash,2023-03-24,68,10,missing_unit_price
S000039214,2024-05-26,C003469,Reza,Rahimi,reza.rahimi3469@example.com,9753523546.0,Rasht,2024-06-04,P00376,Nova Notebook 376,Pets,,99.95,B002,Mall Branch 2,Karaj,partner,4,0,CARD,2024-06-06,114,20,missing_unit_cost
S000039584,2023-05-18,C048703,Yasin,Karimi,yasin.karimi48703@example.com,9670608896.0,Isfahan,2020-10-23,P00299,Basic Desk 299,Gaming,20.33,50.31,B039,Mall Branch 39,Shiraz,online,0,0,cash,2023-12-23,175,10,invalid_quantity
S000040024,2024-09-09,C025498,Leila,Hosseini,leila.hosseini25498@example.com,9107541516.0,TEHRAN,2024-03-30,P00022,Eco Coffee 22,Home Appliances,177.76,-303.68,B002,Mall Branch 2,Karaj,partner,3,0,wallet,2025-06-09,464,40,invalid_unit_price
S000040821,2023-03-24,C017869,Neda,Moradi,neda.moradi17869@example.com,9573125464.0,Karaj,2020-02-02,P00013,Plus Notebook 13,Health,217.38,305.51,B029,North Branch 29,TEHRAN,mobile,0,20,cash,2023-08-13,6,10,invalid_quantity
S000040923,2023-10-16,C037872,Amir,Salehi,amir.salehi37872@example.com,9901408436.0,Karaj,2021-03-24,P00141,Pro Desk 141,Electronics,-166.04,422.45,B036,Express Branch 36,TEHRAN,store,1,15,cash,2023-04-14,192,75,invalid_unit_cost
S000041639,2025-09-11,C029638,Leila,Hosseini,leila.hosseini29638@example.com,9110459875.0,isfahan,2020-02-06,P00482,Classic Coffee 482,Home Appliances,63.22,175.51,B031,North Branch 31,Tehran,store,-3,10,cash,2025-08-19,99,30,invalid_quantity
S000042015,2025-12-08,C038263,Neda,Karimi,neda.karimi38263@example.com,9662679062.0,shiraz,2023-10-28,P00452,Plus Ball 452,Automotive,,374.74,B004,Bazaar Branch 4,Rasht,partner,1,0,CARD,2024-01-23,75,75,missing_unit_cost
S000042049,2024-12-04,C042631,Mina,Hosseini,mina.hosseini42631@example.com,9228767027.0,Rasht,2024-04-25,P00057,Classic Ball 57,Baby,229.73,409.52,B032,Central Branch 32,shiraz,partner,4,120,Online,2024-11-03,43,40,invalid_discount_percent
S000042058,2025-10-08,C042556,Sara,Salehi,sara.salehi42556@example.com,9641616220.0,tehran,2021-04-18,P00492,Eco Sneakers 492,Automotive,247.47,496.34,B033,South Branch 33,isfahan,online,0,0,cash,2023-11-16,22,100,invalid_quantity
S000042263,2023-07-03,C001742,Amir,Moradi,amir.moradi1742@example.com,9416927261.0,Karaj,2020-11-17,P00111,Basic Cream 111,Garden,155.52,,B036,Express Branch 36,TEHRAN,store,1,25,card,2024-08-12,77,50,missing_unit_price
S000043295,2024-04-07,C007962,Yasin,Rostami,yasin.rostami7962@example.com,9262887371.0,TEHRAN,2022-03-04,P00028,Prime Puzzle 28,Shoes,181.09,267.99,B012,South Branch 12,Mashhad,online,0,15,CARD,2023-11-02,139,10,invalid_quantity
